,NAME,VILLAGE,AGE,SEX,FAMILY,START
1,Name1,Kitowo,,,,
2,Name2,Kitowo,,,,
3,Name3,Kitowo,,,,
4,Name4,Kitowo,,,,
5,Name5,Kitowo,,,,
6,Name6,Kitowo,,,,
7,Name7,Kitowo,,,,
8,Name8,Kitowo,,,,
9,Name9,Kitowo,,,,
10,Name10,Kitowo,,,,
11,Name11,Kitowo,,,,
12,Name12,Kitowo,,,,
13,Name13,Kitowo,,,,
14,Name14,Kitowo,,,,
15,Name15,Kitowo,,,,
16,Name16,Kitowo,,,,
17,Name17,Kitowo,,,,
18,Name18,Kitowo,,,,
19,Name19,Kitowo,,,,
20,Name20,Kitowo,,,,
21,Name21,Kitowo,,,,
22,Name22,Kitowo,,,,
23,Name23,Kitowo,,,,
24,Name24,Kitowo,,,,
25,Name25,Kitowo,,,,
26,Name26,Kitowo,,,,
27,Name27,Kitowo,,,,
28,Name28,Kitowo,,,,
29,Name29,Kitowo,,,,
30,Name30,Kitowo,,,,
31,Name31,Kitowo,,,,
32,Name32,Kitowo,,,,
33,Name33,Kitowo,,,,
34,Name34,Kitowo,,,,
35,Name35,Kitowo,,,,
36,Name36,Kitowo,,,,
37,Name37,Kitowo,,,,
38,Name38,Kitowo,,,,
39,Name39,Kitowo,,,,
40,Name40,Kitowo,,,,
41,Name41,Kitowo,,,,
42,Name42,Kitowo,,,,
43,Name43,Kitowo,,,,
44,Name44,Kitowo,,,,
45,Name45,Kitowo,,,,
46,Name46,Kitowo,,,,
47,Name47,Kitowo,,,,
48,Name48,Kitowo,,,,
49,Name49,Kitowo,,,,
50,Name50,Kitowo,,,,
51,Name51,Kitowo,,,,
52,Name52,Kitowo,,,,
53,Name53,Kitowo,,,,
54,Name54,Kitowo,,,,
55,Name55,Kitowo,,,,
56,Name56,Kitowo,,,,
57,Name57,Kitowo,,,,
58,Name58,Kitowo,,,,
59,Name59,Kitowo,,,,
60,Name60,Kitowo,,,,
61,Name61,Kitowo,,,,
62,Name62,Kitowo,,,,
63,Name63,Kitowo,,,,
64,Name64,Kitowo,,,,
65,Name65,Kitowo,,,,
66,Name66,Kitowo,,,,
67,Name67,Kitowo,,,,
68,Name68,Kitowo,,,,
69,Name69,Kitowo,,,,
70,Name70,Kitowo,,,,
71,Name71,Kitowo,,,,
72,Name72,Kitowo,,,,
73,Name73,Kitowo,,,,
74,Name74,Kitowo,,,,
75,Name75,Kitowo,,,,
76,Name76,Kitowo,,,,
77,Name77,Kitowo,,,,
78,Name78,Kitowo,,,,
79,Name79,Kitowo,,,,
80,Name80,Kitowo,,,,
81,Name81,Kitowo,,,,
82,Name82,Kitowo,,,,
83,Name83,Kitowo,,,,
84,Name84,Kitowo,,,,
85,Name85,Kitowo,,,,
86,Name86,Kitowo,,,,
87,Name87,Kitowo,,,,
88,Name88,Kitowo,,,,
89,Name89,Kitowo,,,,
90,Name90,Kitowo,,,,
91,Name91,Kitowo,,,,
92,Name92,Kitowo,,,,
93,Name93,Kitowo,,,,
94,Name94,Kitowo,,,,
95,Name95,Kitowo,,,,
96,Name96,Kitowo,,,,
97,Name97,Kitowo,,,,
98,Name98,Kitowo,,,,
99,Name99,Kitowo,,,,
100,Name100,Kitowo,,,,
101,Name101,Kitowo,,,,
102,Name102,Kitowo,,,,
103,Name103,Kitowo,,,,
104,Name104,Kitowo,,,,
105,Name105,Kitowo,,,,
106,Name106,Kitowo,,,,
107,Name107,Kitowo,,,,
108,Name108,Kitowo,,,,
109,Name109,Kitowo,,,,
110,Name110,Kitowo,,,,
111,Name111,Kitowo,,,,
112,Name112,Kitowo,,,,
113,Name113,Kitowo,,,,
114,Name114,Kitowo,,,,
115,Name115,Kitowo,,,,
116,Name116,Kitowo,,,,
117,Name117,Kitowo,,,,
118,Name118,Kitowo,,,,
119,Name119,Kitowo,,,,
120,Name120,Kitowo,,,,
121,Name121,Kitowo,,,,
