NAME,VILLAGE,AGE,SEX,FAMILY,START
Name1,Pomerini,,,,2018
Name2,Pomerini,,,,2018
Name3,Pomerini,,,,2018
Name4,Pomerini,,,,2018
Name5,Pomerini,,,,2018
Name6,Pomerini,,,,2018
Name7,Pomerini,,,,2018
Name8,Pomerini,,,,2018
Name9,Pomerini,,,,2018
Name10,Pomerini,,,,2018
Name11,Pomerini,,,,2018
Name12,Pomerini,,,,2018
Name13,Pomerini,,,,2018
Name14,Pomerini,,,,2018
Name15,Pomerini,,,,2018
Name16,Pomerini,,,,2018
Name17,Pomerini,,,,2018
Name18,Pomerini,,,,2018
Name19,Pomerini,,,,2018
Name20,Pomerini,,,,2018
Name21,Pomerini,,,,2018
Name22,Pomerini,,,,2018
Name23,Pomerini,,,,2018
Name24,Pomerini,,,,2018
Name25,Pomerini,,,,2018
Name26,Pomerini,,,,2018
Name27,Pomerini,,,,2018
Name28,Pomerini,,,,2018
Name29,Pomerini,,,,2018
Name30,Pomerini,,,,2018
Name31,Pomerini,,,,2018
Name32,Pomerini,,,,2018
Name33,Pomerini,,,,2018
Name34,Pomerini,,,,2018
Name35,Pomerini,,,,2018
Name36,Pomerini,,,,2018
Name37,Pomerini,,,,2018
Name38,Pomerini,,,,2018
