,ID,NAME,PROJECT,AGE,SEX,FAMILY,START,VILLAGE
1,1,Name1,Maji,8,F,3,,Kitowo
2,2,Name2,Maji,9,F,3,,Kitowo
3,3,Name3,Maji,24,F,6,,Kitowo
4,4,Name4,Maji,12,F,2,,Kitowo
5,5,Name5,Maji,13,F,1,,Kitowo
6,6,Name6,Maji,34,F,6,,Kitowo
7,7,Name7,Maji,13,F,4,,Kitowo
8,8,Name8,Maji,9,F,5,,Kitowo
9,9,Name9,Maji,13,F,1,,Kitowo
10,10,Name10,Maji,7,F,5,,Kitowo
11,11,Name11,Maji,8,M,5,,Kitowo
12,12,Name12,Maji,9,M,6,,Kitowo
13,13,Name13,Maji,10,F,8,,Kitowo
14,14,Name14,Maji,11,F,6,,Kitowo
15,15,Name15,Maji,9,F,5,,Kitowo
16,16,Name16,Maji,8,F,2,,Kitowo
17,17,Name17,Maji,13,F,1,,Kitowo
18,18,Name18,Maji,12,F,4,,Kitowo
19,19,Name19,Maji,14,F,4,,Kitowo
20,20,Name20,Maji,10,F,2,,Kitowo
21,21,Name21,Maji,14,M,3,,Kitowo
22,22,Name22,Maji,10,M,4,,Kitowo
23,23,Name23,Maji,12,M,3,,Kitowo
24,24,Name24,Maji,15,M,5,,Kitowo
25,25,Name25,Maji,10,M,5,,Kitowo
26,26,Name26,Maji,12,F,2,,Kitowo
27,27,Name27,Maji,28,M,1,,Kitowo
28,28,Name28,Maji,4,F,2,,Kitowo
29,29,Name29,Maji,8,M,3,,Kitowo
30,30,Name30,Maji,13,F,5,,Kitowo
31,31,Name31,Maji,38,F,1,,Kitowo
32,32,Name32,Maji,12,F,4,,Kitowo
33,33,Name33,Maji,14,F,4,,Kitowo
34,34,Name34,Maji,11,F,4,,Kitowo
35,35,Name35,Maji,13,F,3,,Kitowo
36,36,Name36,Maji,8,M,6,,Kitowo
37,37,Name37,Maji,9,F,6,,Kitowo
38,38,Name38,Maji,12,M,2,,Kitowo
39,39,Name39,Maji,9,M,5,,Kitowo
40,40,Name40,Maji,9,F,4,,Kitowo
41,41,Name41,Maji,35,F,3,,Kitowo
42,42,Name42,Maji,11,F,4,,Kitowo
43,43,Name43,Maji,7,M,4,,Kitowo
44,44,Name44,Maji,9,M,6,,Kitowo
45,45,Name45,Maji,12,F,2,,Kitowo
46,46,Name46,Maji,14,F,5,,Kitowo
47,47,Name47,Maji,13,F,2,,Kitowo
48,48,Name48,Maji,8,F,5,,Kitowo
49,49,Name49,Maji,12,F,0,,Kitowo
50,50,Name50,Maji,8,F,6,,Kitowo
51,51,Name51,Maji,14,M,6,,Kitowo
52,52,Name52,Maji,12,M,4,,Kitowo
53,53,Name53,Maji,7,M,4,,Kitowo
54,54,Name54,Maji,7,M,6,,Kitowo
55,55,Name55,Maji,10,M,3,,Kitowo
56,56,Name56,Maji,13,M,6,,Kitowo
57,57,Name57,Maji,10,M,7,,Kitowo
58,58,Name58,Maji,12,F,4,,Kitowo
59,59,Name59,Maji,11,F,3,,Kitowo
60,60,Name60,Maji,11,F,4,,Kitowo
61,61,Name61,Maji,9,F,6,,Kitowo
62,62,Name62,Maji,11,M,3,,Kitowo
63,63,Name63,Maji,9,F,4,,Kitowo
64,64,Name64,Maji,16,F,5,,Kitowo
65,65,Name65,Maji,8,F,7,,Kitowo
66,66,Name66,Maji,13,M,1,,Kitowo
67,67,Name67,Maji,12,M,1,,Kitowo
68,68,Name68,Maji,11,M,5,,Kitowo
69,69,Name69,Maji,11,F,5,,Kitowo
70,70,Name70,Maji,26,F,5,,Kitowo
71,71,Name71,Maji,9,M,7,,Kitowo
72,72,Name72,Maji,9,F,6,,Kitowo
73,73,Name73,Maji,11,M,6,,Kitowo
74,74,Name74,Maji,14,M,3,,Kitowo
75,75,Name75,Maji,9,F,4,,Kitowo
76,76,Name76,Maji,8,F,1,,Kitowo
77,77,Name77,Maji,27,M,6,,Kitowo
78,78,Name78,Maji,12,M,3,,Kitowo
79,79,Name79,Maji,16,F,4,,Kitowo
80,80,Name80,Maji,9,F,5,,Kitowo
81,81,Name81,Maji,12,F,2,,Kitowo
82,82,Name82,Maji,9,F,1,,Kitowo
83,83,Name83,Maji,9,F,4,,Kitowo
84,84,Name84,Maji,9,M,4,,Kitowo
85,85,Name85,Maji,12,F,1,,Kitowo
86,86,Name86,Maji,7,M,4,,Kitowo
87,87,Name87,Maji,10,F,4,,Kitowo
88,88,Name88,Maji,12,M,4,,Kitowo
89,89,Name89,Maji,12,M,4,,Kitowo
90,90,Name90,Maji,9,M,0,,Kitowo
91,91,Name91,Maji,13,M,4,,Kitowo
92,92,Name92,Maji,9,F,0,,Kitowo
93,93,Name93,Maji,12,M,0,,Kitowo
94,94,Name94,Maji,4,F,4,,Kitowo
95,95,Name95,Maji,7,F,3,,Kitowo
96,96,Name96,Maji,12,F,6,,Kitowo
97,97,Name97,Maji,48,F,5,,Kitowo
98,98,Name98,Maji,13,F,4,,Kitowo
99,99,Name99,Maji,8,F,1,,Kitowo
100,100,Name100,Maji,10,F,2,,Kitowo
101,101,Name101,Maji,61,F,1,,Kitowo
102,102,Name102,Maji,11,F,2,,Kitowo
103,103,Name103,Maji,12,M,5,,Kitowo
104,104,Name104,Maji,9,F,4,,Kitowo
105,105,Name105,Maji,12,F,6,,Kitowo
106,106,Name106,Maji,61,M,6,,Kitowo
107,107,Name107,Maji,9,M,4,,Kitowo
108,108,Name108,Maji,21,F,3,,Kitowo
109,109,Name109,Maji,12,M,4,,Kitowo
110,110,Name110,Maji,13,F,6,,Kitowo
111,111,Name111,Maji,12,F,5,,Kitowo
112,112,Name112,Maji,14,F,2,,Kitowo
113,113,Name113,Maji,13,F,2,,Kitowo
114,114,Name114,Maji,11,M,4,,Kitowo
115,115,Name115,Maji,29,M,3,,Kitowo
116,116,Name116,Maji,26,F,3,,Kitowo
117,117,Name117,Maji,13,M,2,,Kitowo
118,118,Name118,Maji,13,F,3,,Kitowo
119,119,Name119,Maji,12,M,2,,Kitowo
120,120,Name120,Maji,9,F,6,,Kitowo
121,121,Name121,Maji,3,F,2,,Kitowo
122,122,Name122,Maji,12,M,4,,Kitowo
123,123,Name123,Maji,14,F,0,,Kitowo
124,124,Name124,Maji,12,M,2,,Kitowo
125,125,Name125,Maji,10,F,3,,Kitowo
126,126,Name126,Maji,12,F,6,,Kitowo
127,127,Name127,Maji,12,F,6,,Kitowo
128,128,Name128,Maji,13,M,2,,Kitowo
129,129,Name129,Maji,12,F,4,,Kitowo
130,130,Name130,Maji,25,F,3,,Kitowo
131,131,Name131,Maji,12,F,6,,Kitowo
132,132,Name132,Maji,9,F,2,,Kitowo
133,133,Name133,Maji,14,F,4,,Kitowo
134,134,Name134,Maji,10,F,4,,Kitowo
135,135,Name135,Maji,37,M,6,,Kitowo
136,136,Name136,Maji,9,F,4,,Kitowo
137,137,Name137,Maji,12,M,1,,Kitowo
138,138,Name138,Maji,10,F,4,,Kitowo
139,139,Name139,Maji,10,F,6,,Kitowo
140,140,Name140,Maji,13,M,3,,Kitowo
141,141,Name141,Maji,11,M,3,,Kitowo
142,142,Name142,Maji,9,M,4,,Kitowo
143,143,Name143,Maji,12,F,4,,Kitowo
144,144,Name144,Maji,9,M,4,,Kitowo
145,145,Name145,Maji,10,M,3,,Kitowo
146,146,Name146,Maji,14,F,5,,Kitowo
147,147,Name147,Maji,15,M,6,,Kitowo
148,148,Name148,Maji,11,M,6,,Kitowo
149,149,Name149,Maji,10,F,4,,Kitowo
150,150,Name150,Maji,11,F,3,,Kitowo
151,151,Name151,Maji,14,F,3,,Kitowo
152,152,Name152,Maji,15,F,6,,Kitowo
153,153,Name153,Maji,13,F,3,,Kitowo
154,154,Name154,Maji,13,F,3,,Kitowo
155,155,Name155,Maji,8,F,6,,Kitowo
156,156,Name156,Maji,13,M,4,,Kitowo
157,157,Name157,Maji,12,F,6,,Kitowo
158,158,Name158,Maji,7,M,5,,Kitowo
159,159,Name159,Maji,12,F,4,,Kitowo
160,160,Name160,Maji,13,F,3,,Kitowo
161,161,Name161,Maji,7,F,0,,Kitowo
162,162,Name162,Maji,10,F,3,,Kitowo
163,163,Name163,Maji,40,M,3,,Kitowo
164,164,Name164,Maji,27,F,5,,Kitowo
165,165,Name165,Maji,12,F,6,,Kitowo
166,166,Name166,Maji,10,M,3,,Kitowo
167,167,Name167,Maji,8,F,0,,Kitowo
168,168,Name168,Maji,10,F,4,,Kitowo
169,169,Name169,Maji,15,F,3,,Kitowo
170,170,Name170,Maji,12,F,1,,Kitowo
171,171,Name171,Maji,9,F,2,,Kitowo
172,172,Name172,Maji,13,M,6,,Kitowo
173,173,Name173,Maji,13,F,3,,Kitowo
174,174,Name174,Maji,7,F,3,,Kitowo
175,175,Name175,Maji,14,M,3,,Kitowo
176,176,Name176,Maji,11,M,4,,Kitowo
177,177,Name177,Maji,38,F,6,,Kitowo
178,178,Name178,Maji,7,F,6,,Kitowo
179,179,Name179,Maji,7,M,2,,Kitowo
180,180,Name180,Maji,8,F,1,,Kitowo
181,181,Name181,Maji,12,F,6,,Kitowo
182,182,Name182,Maji,9,F,5,,Kitowo
183,183,Name183,Maji,9,M,2,,Kitowo
184,184,Name184,Maji,53,F,4,,Kitowo
185,185,Name185,Maji,14,F,4,,Kitowo
186,186,Name186,Maji,9,M,3,,Kitowo
187,187,Name187,Maji,14,M,7,,Kitowo
188,188,Name188,Maji,13,F,6,,Kitowo
189,189,Name189,Maji,8,M,3,,Kitowo
190,190,Name190,Maji,12,F,4,,Kitowo
191,191,Name191,Maji,12,F,2,,Kitowo
192,192,Name192,Maji,12,F,6,,Kitowo
193,193,Name193,Maji,13,F,3,,Kitowo
194,194,Name194,Maji,8,F,6,,Kitowo
195,195,Name195,Maji,11,M,4,,Kitowo
196,196,Name196,Maji,12,F,4,,Kitowo
197,197,Name197,Maji,9,M,1,,Kitowo
198,198,Name198,Maji,13,M,2,,Kitowo
199,199,Name199,Maji,11,F,6,,Kitowo
200,200,Name200,Maji,16,M,6,,Kitowo
201,201,Name201,Maji,9,F,5,,Kitowo
202,202,Name202,Maji,8,M,2,,Kitowo
203,203,Name203,Maji,15,M,1,,Kitowo
204,204,Name204,Maji,12,F,5,,Kitowo
205,205,Name205,Maji,13,F,2,,Kitowo
206,206,Name206,Maji,13,F,0,,Kitowo
207,207,Name207,Maji,14,M,2,,Kitowo
208,208,Name208,Maji,13,F,6,,Kitowo
209,209,Name209,Maji,11,F,1,,Kitowo
210,210,Name210,Maji,13,F,4,,Kitowo
211,211,Name211,Maji,10,M,6,,Kitowo
212,212,Name212,Maji,12,M,7,,Kitowo
213,213,Name213,Maji,11,F,4,,Kitowo
214,214,Name214,Maji,11,F,3,,Kitowo
215,215,Name215,Maji,15,F,3,,Kitowo
216,216,Name216,Maji,11,M,4,,Kitowo
217,217,Name217,Maji,13,F,4,,Kitowo
218,218,Name218,Maji,14,F,6,,Kitowo
219,219,Name219,Maji,13,F,4,,Kitowo
220,220,Name220,Maji,12,F,4,,Kitowo
221,221,Name221,Maji,8,F,2,,Kitowo
222,222,Name222,Maji,27,M,3,,Kitowo
223,223,Name223,Maji,13,F,0,,Kitowo
224,224,Name224,Maji,9,F,2,,Kitowo
225,225,Name225,Maji,11,F,4,,Kitowo
226,226,Name226,Maji,10,F,0,,Kitowo
227,227,Name227,Maji,13,F,6,,Kitowo
228,228,Name228,Maji,11,F,6,,Kitowo
229,229,Name229,Maji,9,M,2,,Kitowo
230,230,Name230,Maji,6,M,6,,Kitowo
231,231,Name231,Maji,10,F,2,,Kitowo
232,232,Name232,Maji,12,M,6,,Kitowo
233,233,Name233,Maji,13,F,3,,Kitowo
234,234,Name234,Maji,9,M,3,,Kitowo
235,235,Name235,Maji,12,F,3,,Kitowo
236,236,Name236,Maji,11,F,4,,Kitowo
237,237,Name237,Maji,12,M,3,,Kitowo
238,238,Name238,Maji,14,F,3,,Kitowo
239,239,Name239,Maji,15,F,2,,Kitowo
240,240,Name240,Maji,12,F,5,,Kitowo
241,241,Name241,Maji,12,F,2,,Kitowo
242,242,Name242,Maji,53,F,2,,Kitowo
243,243,Name243,Maji,10,M,6,,Kitowo
244,244,Name244,Maji,13,M,3,,Kitowo
245,245,Name245,Maji,23,F,3,,Kitowo
246,246,Name246,Maji,24,M,5,,Kitowo
247,247,Name247,Maji,9,M,4,,Kitowo
248,248,Name248,Maji,13,M,3,,Kitowo
249,249,Name249,Maji,14,M,3,,Kitowo
250,250,Name250,Maji,13,F,5,,Kitowo
251,251,Name251,Maji,14,M,5,,Kitowo
252,252,Name252,Maji,13,M,1,,Kitowo
253,253,Name253,Maji,11,M,7,,Kitowo
254,254,Name254,Maji,10,F,2,,Kitowo
255,255,Name255,Maji,11,F,6,,Kitowo
256,256,Name256,Maji,9,F,5,,Kitowo
257,257,Name257,Maji,12,M,4,,Kitowo
258,258,Name258,Maji,8,F,2,,Kitowo
259,259,Name259,Maji,11,F,4,,Kitowo
260,260,Name260,Maji,14,F,1,,Kitowo
261,261,Name261,Maji,10,F,3,,Kitowo
262,262,Name262,Maji,14,M,6,,Kitowo
263,263,Name263,Maji,8,F,2,,Kitowo
264,264,Name264,Maji,7,F,1,,Kitowo
265,265,Name265,Maji,12,F,1,,Kitowo
266,266,Name266,Maji,11,M,5,,Kitowo
267,267,Name267,Maji,10,F,1,,Kitowo
268,268,Name268,Maji,11,M,4,,Kitowo
269,269,Name269,Maji,9,F,6,,Kitowo
270,270,Name270,Maji,15,F,6,,Kitowo
